Index.1,province,year,overall overall,overall man,overall woman,0-4 overall,0-4 man,0-4 woman,5-9 overall,5-9 man,5-9 woman,10-14 overall,10-14 man,10-14 woman,15-19 overall,15-19 man,15-19 woman,20-24 overall,20-24 man,20-24 woman,25-29 overall,25-29 man,25-29 woman,30-34 overall,30-34 man,30-34 woman,35-39 overall,35-39 man,35-39 woman,40-44 overall,40-44 man,40-44 woman,45-49 overall,45-49 man,45-49 woman,50-54 overall,50-54 man,50-54 woman,55-59 overall,55-59 man,55-59 woman,60-64 overall,60-64 man,60-64 woman,65-69 overall,65-69 man,65-69 woman,70 and older overall,70 and older man,70 and older woman,70-74 overall,70-74 man,70-74 woman,75-79 overall,75-79 man,75-79 woman,80-84 overall,80-84 man,80-84 woman,85 and older overall,85 and older man,85 and older woman,pre-working age,working age,post-working age
46,PODKARPACKIE,2004,2097975,1026248,1071727,106535,54648,51887,127170,65323,61847,159943,81411,78532,182177,93156,89021,182822,93315,89507,165313,84789,80524,146403,74726,71677,133957,67940,66017,143769,73196,70573,154605,77653,76952,141885,69924,71961,109087,51752,57335,77281,35150,42131,83067,36167,46900,183961,67098,116863,75810,30882,44928,57236,21069,36167,34128,10746,23382,16787,4401,12386,575825,1212991,309159
47,PODLASKIE,2004,1202425,587283,615142,55733,28634,27099,67475,34584,32891,87053,44776,42277,101782,52043,49739,102415,53175,49240,89036,45593,43443,81123,41314,39809,77750,39670,38080,85524,43285,42239,93287,46855,46432,79615,39134,40481,60903,28509,32394,48379,21776,26603,50042,21788,28254,122308,46147,76161,48528,20236,28292,39264,14664,24600,22104,7502,14602,12412,3745,8667,312043,691429,198953
48,MAZOWIECKIE,2004,5145997,2468793,2677204,241002,123411,117591,265227,136060,129167,319321,163269,156052,369963,189889,180074,424726,216227,208499,424170,212644,211526,373141,187680,185461,314917,159280,155637,333505,166588,166917,416151,203571,212580,403160,192915,210245,308335,142722,165613,207573,91554,116019,218925,91932,126993,525881,191051,334830,208418,83875,124543,166081,61395,104686,96550,31415,65135,54832,14366,40466,1195513,3089659,860825
49,MAŁOPOLSKIE,2005,3266187,1584312,1681875,162638,83348,79290,183539,93789,89750,219986,112589,107397,251581,129079,122502,289308,146429,142879,270194,135986,134208,240138,120994,119144,212491,107817,104674,215142,108643,106499,238116,118720,119396,229218,111695,117523,189259,89033,100226,128038,58583,69455,133833,57990,75843,302706,109617,193089,121392,49420,71972,93817,34459,59358,57303,17879,39424,30194,7859,22335,817744,1942449,505994
50,ŚLĄSKIE,2005,4685775,2263806,2421969,198776,101869,96907,219337,112653,106684,271475,138757,132718,337774,172600,165174,398698,201359,197339,381282,191920,189362,334770,169682,165088,301089,151616,149473,324346,162407,161939,390199,191395,198804,383584,184957,198627,308923,146740,162183,214659,98030,116629,212776,94782,117994,408087,145039,263048,170702,70525,100177,123278,44132,79146,74503,21103,53400,39604,9279,30325,1027362,2920921,737492
51,LUBUSKIE,2005,1009198,489688,519510,48042,24575,23467,53311,27522,25789,65614,33369,32245,78985,40180,38805,92291,46882,45409,84650,43130,41520,72176,36772,35404,59886,30289,29597,65216,32593,32623,83877,41424,42453,83688,40770,42918,69628,33746,35882,34019,15246,18773,35802,14859,20943,82013,28331,53682,32866,12698,20168,26119,8853,17266,15762,4681,11081,7266,2099,5167,245952,626658,136588
52,WIELKOPOLSKIE,2005,3372417,1636123,1736294,169050,87255,81795,183640,94348,89292,222524,113981,108543,263000,134190,128810,301808,153668,148140,287685,145602,142083,252203,127682,124521,210983,106079,104904,216772,107937,108835,259763,127850,131913,255672,123370,132302,231606,109481,122125,116645,53261,63384,122193,52189,70004,278873,99230,179643,109069,43831,65238,84528,30694,53834,54682,16789,37893,30594,7916,22678,838214,2069753,464450
53,ZACHODNIOPOMORSKIE,2005,1694178,824075,870103,78833,40806,38027,87048,44597,42451,107529,54894,52635,126147,64641,61506,151168,77183,73985,138828,70796,68032,121718,61884,59834,101353,51172,50181,108905,54756,54149,142615,70165,72450,145446,70880,74566,119584,58091,61493,60252,28025,32227,62647,26379,36268,142105,49806,92299,58183,22798,35385,45605,15756,29849,26591,7977,18614,11726,3275,8451,399557,1057642,236979
54,DOLNOŚLĄSKIE,2005,2888232,1386247,1501985,123376,63497,59879,136457,69914,66543,168401,86064,82337,205642,104949,100693,256519,130297,126222,243395,123474,119921,208591,105756,102835,168774,85504,83270,183395,91128,92267,240449,118107,122342,252564,121710,130854,206571,98186,108385,104977,47022,57955,115243,47122,68121,273878,93517,180361,107172,41112,66060,88751,29413,59338,54614,16273,38341,23341,6719,16622,633876,1807280,447076
55,OPOLSKIE,2005,1047407,507195,540212,42306,21788,20518,51746,26498,25248,64233,32671,31562,80625,41203,39422,90284,45147,45137,82508,41142,41366,75479,37899,37580,71498,36179,35319,76909,39320,37589,83633,42085,41548,79700,39156,40544,64588,30908,33680,40853,18991,21862,49108,21137,27971,93937,33071,60866,40459,16608,23851,28816,9962,18854,16531,4535,11996,8131,1966,6165,238910,643590,164907
56,KUJAWSKO-POMORSKIE,2005,2068253,998676,1069577,100275,51675,48600,111509,57230,54279,137029,69688,67341,158731,81046,77685,183733,93095,90638,167337,85006,82331,148783,74841,73942,128374,64143,64231,135132,66997,68135,164556,80780,83776,160950,77517,83433,139416,65187,74229,77527,35218,42309,78088,33384,44704,176813,62869,113944,70478,28454,42024,54538,19713,34825,33202,9981,23221,18595,4721,13874,507544,1263499,297210
